1	16.218	64.432
2	79.428	37.861
3	31.122	81.158
4	52.853	53.283
5	16.565	35.073
6	60.198	93.9
7	26.297	87.594
8	65.408	55.016
9	68.921	62.248
10	74.815	58.704
11	45.054	20.774
12	8.3821	30.125
13	22.898	47.092
14	91.334	23.049
15	15.238	84.431
16	82.582	19.476
17	53.834	22.592
18	99.613	17.071
19	7.8176	22.766
20	44.268	43.57
21	10.665	31.11
22	96.19	92.338
23	0.46342	43.021
24	77.491	18.482
25	81.73	90.488
26	86.869	97.975
27	8.4436	43.887
28	39.978	11.112
29	25.987	25.806
30	80.007	40.872
31	43.141	59.49
32	91.065	26.221
33	18.185	60.284
34	26.38	71.122
35	14.554	22.175
36	13.607	11.742
37	86.929	29.668
38	57.97	31.878
39	54.986	42.417
40	14.495	50.786
41	85.303	8.5516
42	62.206	26.248
43	35.095	80.101
44	51.325	2.922
45	40.181	92.885
46	7.5967	73.033
47	23.992	48.861
48	12.332	57.853
49	18.391	23.728
50	23.995	45.885
51	41.727	96.309
52	4.9654	54.681
53	90.272	52.114
54	94.479	23.159
55	49.086	48.89
56	48.925	62.406
57	33.772	67.914
58	90.005	39.552
59	36.925	36.744
60	11.12	98.798
61	78.025	3.7739
62	38.974	88.517
63	24.169	91.329
64	40.391	79.618
65	9.6455	9.8712
66	13.197	26.187
67	94.205	33.536
68	95.613	67.973
69	57.521	13.655
70	5.978	72.123
71	23.478	10.676
72	35.316	65.376
73	82.119	49.417
74	1.5403	77.905
75	4.3024	71.504
76	16.899	90.372
77	64.912	89.092
78	73.172	33.416
79	64.775	69.875
80	45.092	19.781
81	54.701	3.0541
82	29.632	74.407
83	74.469	50.002
84	18.896	47.992
85	68.678	90.472
86	18.351	60.987
87	36.848	61.767
88	62.562	85.944
89	78.023	80.549
90	8.1126	57.672
91	92.939	18.292
92	77.571	23.993
93	48.679	88.651
94	43.586	2.8674
95	44.678	48.99
96	30.635	16.793
97	50.851	97.868
98	51.077	71.269
99	81.763	50.047
100	79.483	47.109
