Data for 100x100 matrix
id,width,height,value
1,3,7,3
2,5,9,3
3,5,3,4
4,3,8,7
5,3,6,2
6,6,8,3
7,1,1,10
8,3,2,9
9,10,6,1
10,9,8,2
11,10,8,5
12,8,5,8
13,7,7,6
14,4,7,10
15,8,4,6
16,8,9,2
17,1,5,4
18,4,6,2
19,7,6,10
20,10,4,4
21,9,6,4
22,5,5,3
23,9,7,1
24,1,10,1
25,4,4,2
26,4,10,3
27,10,9,2
28,10,3,6
29,1,8,2
30,10,3,9
31,5,4,4
32,9,6,2
33,10,8,4
34,2,5,10
35,5,7,5
36,8,1,7
37,3,7,3
38,2,9,2
39,7,5,8
40,8,9,10
41,3,10,6
42,2,10,2
43,1,7,4
44,3,2,6
45,3,5,7
46,1,5,9
47,2,5,9
48,3,5,2
49,7,3,9
50,6,3,3
51,9,6,9
52,4,3,5
53,4,6,5
54,3,1,1
55,3,4,4
56,7,5,2
57,7,6,9
58,1,1,5
59,4,6,4
60,9,10,5
61,4,4,1
62,3,6,3
63,3,4,2
64,4,9,1
65,1,9,1
66,8,9,10
67,7,7,5
68,10,9,4
69,9,10,4
70,8,1,3
71,9,10,6
72,7,4,6
73,8,1,2
74,7,6,6
75,6,6,5
76,4,6,9
77,2,6,10
78,1,3,1
79,7,4,6
80,10,1,10
81,10,10,9
82,9,10,6
83,5,10,1
84,5,2,5
85,1,3,4
86,2,6,2
87,7,2,8
88,10,5,9
89,6,10,9
90,4,9,7
91,4,2,10
92,5,10,8
93,9,2,6
94,8,1,2
95,9,3,2
96,2,9,6
97,2,2,2
98,8,10,9
99,9,5,10
100,7,9,6
101,9,3,9
102,8,6,5
103,6,1,9
104,7,2,2
105,5,10,4
106,5,6,9
107,3,2,9
108,4,4,6
109,3,2,1
110,5,9,7
111,3,8,8
112,8,3,9
113,4,6,7
114,5,8,10
115,1,1,2
116,2,10,3
117,2,2,6
118,3,7,9
119,1,1,4
120,8,10,2
121,3,4,5
122,6,10,9
123,10,9,10
124,2,6,9
125,7,10,9
126,5,5,7
127,9,3,1
128,3,7,9
129,8,4,10
130,8,5,6
131,8,10,6
132,5,2,5
133,2,1,8
134,1,3,10
135,5,10,3
136,5,4,6
137,6,3,5
138,10,3,3
139,8,3,1
140,2,2,1
141,10,5,9
142,1,5,4
143,2,8,2
144,1,9,2
145,7,10,9
146,2,8,3
147,6,4,3
148,5,4,6
149,7,5,4
150,6,4,6
151,3,7,6
152,7,7,8
153,6,1,5
154,10,10,3
155,5,2,3
156,4,2,2
157,3,10,8
158,3,8,5
159,8,1,9
160,7,4,2
161,10,7,6
162,9,9,1
163,1,8,2
164,10,1,1
165,7,3,2
166,9,8,5
167,4,9,3
168,10,10,10
169,9,1,2
170,5,6,10
171,1,4,5
172,2,1,8
173,7,8,4
174,5,5,5
175,10,7,5
176,6,1,6
177,5,10,3
178,6,3,8
179,10,6,10
180,8,5,3
181,2,5,2
182,6,8,6
183,7,9,10
184,6,6,8
185,8,1,3
186,9,1,10
187,9,2,9
188,1,10,6
189,10,2,5
190,9,10,6
191,7,1,9
192,9,2,4
193,4,8,6
194,9,4,7
195,1,3,2
196,3,3,10
197,4,7,9
198,4,7,8
199,9,9,8
200,7,9,2
201,7,2,6
202,7,4,4
203,1,4,2
204,8,5,7
205,7,5,6
206,6,3,3
207,9,6,1
208,10,2,6
209,2,4,2
210,8,1,8
211,10,6,5
212,1,8,3
213,9,7,7
214,10,6,2
215,8,7,3
216,1,4,8
217,3,4,9
218,6,6,7
219,8,7,7
220,10,10,4
221,3,1,6
222,1,9,7
223,1,2,7
224,10,1,8
225,4,6,5
226,4,7,9
227,5,6,5
228,1,6,3
229,7,10,9
230,7,7,5
231,7,8,2
232,2,5,1
233,8,6,4
234,4,9,4
235,2,1,5
236,4,5,7
237,7,5,4
238,10,7,2
239,7,3,6
240,5,9,6
241,3,1,2
242,10,9,8
243,4,5,5
244,1,5,1
245,9,2,1
246,3,6,6
247,2,6,7
248,6,1,5
249,6,9,3
250,4,3,4
251,8,3,4
252,9,10,1
253,10,9,5
254,10,8,4
255,8,3,8
256,9,6,9
257,10,2,1
258,8,1,8
259,8,5,6
260,4,3,1
261,2,1,10
262,3,8,2
263,4,3,3
264,3,3,5
265,2,4,5
266,8,1,10
267,1,1,8
268,7,10,2
269,2,2,7
270,8,5,8
271,7,9,3
272,10,2,9
273,2,9,5
274,1,3,5
275,5,5,10
276,6,4,7
277,5,10,9
278,1,1,4
279,5,8,8
280,5,5,6
281,3,9,1
282,5,6,7
283,8,9,3
284,9,1,2
285,9,8,2
286,2,3,1
287,10,7,5
288,4,9,3
289,5,9,2
290,4,3,9
291,5,9,10
292,2,2,7
293,4,7,1
294,3,6,9
295,8,9,2
296,3,8,2
297,3,9,2
298,2,10,2
299,2,5,9
300,8,1,6
301,3,2,6
302,3,10,8
303,1,7,9
304,4,7,2
305,1,8,10
306,4,8,5
307,5,4,2
308,9,6,2
309,5,3,3
310,1,9,6
311,10,7,7
312,1,10,8
313,9,7,8
314,2,8,4
315,2,1,7
316,6,8,6
317,3,6,6
318,8,7,3
319,7,7,1
320,8,6,5
321,4,6,4
322,7,7,6
323,5,7,6
324,10,3,5
325,5,10,5
326,10,1,4
327,1,2,2
328,8,2,9
329,6,4,3
330,6,9,10
331,8,9,5
332,6,4,6
333,1,8,5
334,9,1,7
335,9,5,4
336,2,5,6
337,6,6,2
338,2,10,8
339,1,10,10
340,3,5,7
341,4,6,5
342,6,5,3
343,9,7,1
344,1,6,3
345,8,10,6
346,1,8,10
347,7,9,2
348,10,5,3
349,10,1,7
350,1,6,2
351,7,1,9
352,4,3,10
353,8,5,2
354,8,1,4
355,10,10,8
356,10,2,6
357,6,5,1
358,4,1,9
359,9,4,10
360,10,9,8
361,3,5,2
362,7,2,8
363,4,1,2
364,7,8,10
365,6,4,2
366,8,3,6
367,2,10,10
368,4,4,4
369,1,8,5
370,6,4,10
371,2,8,3
372,6,4,9
373,3,1,7
374,1,5,7
375,9,10,10
376,9,9,4
377,4,7,1
378,8,10,9
379,6,4,7
380,5,5,7
381,5,10,1
382,5,6,8
383,5,4,4
384,1,10,9
385,8,2,6
386,5,3,5
387,5,2,1
388,4,9,9
389,8,3,10
390,8,9,1
391,2,6,7
392,10,9,5
393,7,5,4
394,10,9,6
395,5,1,6
396,1,8,3
397,10,5,8
398,7,10,3
399,6,3,8
400,6,7,10
401,6,5,1
402,4,6,10
403,6,2,6
404,1,10,10
405,10,5,5
406,10,4,3
407,9,3,3
408,7,10,4
409,4,1,6
410,10,9,2
411,4,9,2
412,3,9,4
413,2,5,7
414,4,9,6
415,4,9,8
416,1,8,10
417,10,1,1
418,6,8,7
419,1,3,9
420,4,10,2
421,10,10,5
422,3,7,9
423,5,9,5
424,8,6,7
425,1,6,6
426,7,1,3
427,1,6,9
428,9,5,6
429,3,4,9
430,5,10,7
431,3,9,2
432,1,10,1
433,8,5,10
434,8,5,10
435,2,1,6
436,9,3,7
437,4,5,2
438,3,6,7
439,9,9,10
440,5,7,1
441,8,2,7
442,1,2,8
443,9,7,4
444,8,1,9
445,3,1,10
446,1,8,3
447,4,8,9
448,2,3,4
449,5,9,2
450,10,7,4
451,4,2,10
452,8,2,5
453,6,5,6
454,6,2,2
455,4,8,10
456,2,10,5
457,10,10,1
458,2,7,3
459,9,5,1
460,8,10,4
461,7,2,7
462,3,4,2
463,4,9,2
464,10,3,2
465,9,7,4
466,1,8,10
467,3,6,9
468,6,10,9
469,10,1,10
470,4,2,7
471,10,2,8
472,3,2,6
473,7,1,7
474,6,8,6
475,2,1,5
476,3,5,2
477,8,2,9
478,1,6,7
479,10,5,4
480,3,3,5
481,4,10,8
482,1,8,5
483,5,4,5
484,2,5,3
485,8,10,8
486,10,5,3
487,4,5,9
