Data for 1000x1000 matrix
id,width,height,value
1,3,8,7
2,2,5,10
3,1,2,6
4,2,3,7
5,6,2,4
6,3,4,1
7,4,5,5
8,10,4,3
9,10,4,1
10,6,2,6
11,10,1,7
12,3,1,1
13,4,3,8
14,4,5,4
15,5,9,4
16,10,5,4
17,4,5,10
18,7,5,3
19,5,7,4
20,5,3,3
21,3,1,5
22,2,4,2
23,4,2,5
24,4,8,3
25,3,2,7
26,9,7,2
27,4,2,9
28,2,3,3
29,7,5,6
30,6,4,8
31,8,7,9
32,6,10,3
33,3,5,7
34,2,7,1
35,5,1,6
36,8,9,1
37,1,3,9
38,2,10,7
39,2,10,9
40,7,4,7
41,8,3,1
42,2,5,3
43,9,3,8
44,4,6,1
45,2,3,1
46,10,6,3
47,5,2,2
48,3,4,4
49,10,3,6
50,2,2,10
51,10,10,6
52,3,10,5
53,2,8,9
54,9,9,8
55,8,9,3
56,7,9,1
57,7,7,7
58,8,1,9
59,2,10,9
60,4,9,8
61,8,7,7
62,6,1,8
63,3,9,8
64,5,9,10
65,10,4,10
66,5,10,5
67,10,3,8
68,10,1,2
69,1,1,4
70,6,4,3
71,4,9,3
72,7,2,3
73,5,8,4
74,3,6,5
75,5,9,1
76,1,6,7
77,1,5,4
78,1,2,1
79,2,4,5
80,6,3,1
81,2,5,1
82,5,8,4
83,7,4,2
84,9,4,7
85,10,4,4
86,1,9,4
87,4,8,3
88,10,1,5
89,4,4,1
90,7,8,8
91,9,8,7
92,8,4,7
93,2,10,1
94,8,6,9
95,3,6,6
96,1,6,7
97,5,10,7
98,2,8,6
99,7,8,4
100,5,2,2
101,7,4,10
102,8,4,8
103,3,7,4
104,1,6,6
105,10,3,9
106,6,5,8
107,10,1,7
108,1,9,3
109,3,4,9
110,4,4,6
111,5,8,5
112,9,1,2
113,1,8,8
114,3,4,7
115,3,1,1
116,10,3,6
117,4,10,8
118,7,5,3
119,1,1,2
120,9,10,2
121,4,5,3
122,5,5,8
123,3,10,8
124,5,2,3
125,2,5,3
126,10,1,2
127,1,10,2
128,2,3,4
129,5,2,6
130,2,7,4
131,8,2,1
132,8,7,2
133,10,4,1
134,9,3,8
135,4,4,5
136,9,4,10
137,1,9,2
138,6,7,2
139,6,10,9
140,1,5,6
141,10,6,4
142,3,6,1
143,3,2,7
144,2,8,10
145,8,4,5
146,3,8,7
147,6,5,3
148,3,3,4
149,4,10,1
150,6,9,5
151,3,5,1
152,10,6,7
153,4,2,5
154,6,8,10
155,9,1,5
156,5,1,8
157,9,6,2
158,1,9,4
159,4,3,3
160,3,5,9
161,6,8,7
162,5,7,6
163,3,9,9
164,8,1,2
165,3,2,5
166,1,8,5
167,9,3,10
168,3,10,4
169,9,7,2
170,6,3,7
171,1,8,3
172,6,9,2
173,5,2,3
174,3,7,6
175,3,3,8
176,2,10,9
177,4,5,6
178,1,7,1
179,4,3,7
180,10,4,7
181,8,7,10
182,6,3,5
183,7,9,4
184,5,7,1
185,5,6,8
186,5,3,9
187,6,2,8
188,9,2,9
189,9,4,9
190,3,3,9
191,5,5,3
192,7,2,10
193,9,3,1
194,1,3,4
195,2,5,6
196,6,6,4
197,8,9,1
198,9,3,6
199,4,1,3
200,9,9,2
201,7,5,6
202,6,4,9
203,9,5,3
204,9,10,5
205,9,9,4
206,2,7,6
207,8,10,4
208,8,4,9
209,2,7,5
210,9,1,8
211,6,9,1
212,3,6,7
213,1,9,5
214,10,4,9
215,9,6,4
216,3,5,9
217,1,2,4
218,7,8,5
219,5,10,8
220,1,7,2
221,4,6,7
222,1,6,5
223,3,2,5
224,10,1,1
225,5,7,10
226,1,4,7
227,10,7,10
228,3,10,3
229,4,5,7
230,9,6,3
231,8,10,6
232,5,7,2
233,1,3,1
234,4,8,1
235,8,4,9
236,4,5,7
237,6,6,2
238,9,1,6
239,10,5,10
240,1,8,1
241,5,3,10
242,10,3,1
243,2,3,4
244,9,1,8
245,9,1,3
246,6,1,3
247,8,4,4
248,5,3,5
249,5,10,10
250,7,6,1
251,9,7,3
252,5,5,4
253,10,4,9
254,10,5,3
255,5,2,6
256,2,5,3
257,6,8,8
258,10,1,6
259,4,10,5
260,6,3,4
261,3,1,2
262,7,6,8
263,5,3,9
264,9,3,3
265,9,4,9
266,2,2,2
267,4,10,4
268,6,5,9
269,1,3,6
270,5,8,1
271,10,9,4
272,1,3,9
273,3,7,4
274,10,4,10
275,3,9,8
276,1,3,9
277,5,4,6
278,9,5,10
279,5,4,8
280,4,2,9
281,10,1,1
282,2,1,8
283,1,9,3
284,9,7,5
285,6,9,4
286,8,6,3
287,5,4,9
288,8,7,9
289,10,3,4
290,1,6,3
291,5,4,10
292,8,2,9
293,4,4,6
294,9,6,9
295,9,2,10
296,7,7,6
297,9,8,9
298,5,2,10
299,2,8,6
300,2,7,2
301,7,8,10
302,1,4,7
303,5,9,10
304,5,10,1
305,1,6,7
306,8,10,9
307,2,10,3
308,8,8,6
309,6,8,6
310,3,9,7
311,4,8,7
312,10,4,8
313,2,6,7
314,2,7,9
315,8,7,7
316,7,10,9
317,2,2,5
318,7,8,2
319,2,5,1
320,6,4,10
321,1,6,3
322,5,10,9
323,9,9,8
324,9,5,10
325,6,8,1
326,7,4,10
327,1,7,2
328,2,10,5
329,10,9,6
330,4,8,10
331,3,9,4
332,1,5,3
333,8,9,7
334,9,2,6
335,4,10,10
336,10,9,7
337,7,6,1
338,7,6,10
339,6,6,10
340,4,1,4
341,9,9,2
342,7,10,9
343,6,8,5
344,1,10,7
345,8,10,8
346,7,8,8
347,6,7,5
348,8,9,4
349,2,2,4
350,10,3,3
351,8,7,10
352,6,5,2
353,6,3,4
354,8,4,8
355,5,9,5
356,10,6,3
357,10,8,7
358,9,1,3
359,8,4,8
360,5,1,9
361,1,3,6
362,9,4,4
363,1,7,3
364,5,7,7
365,8,6,6
366,10,7,7
367,5,5,10
368,9,10,4
369,2,10,1
370,7,9,10
371,5,1,1
372,5,7,10
373,9,9,5
374,8,3,5
375,9,3,7
376,8,5,3
377,8,1,8
378,10,9,2
379,7,3,5
380,4,6,3
381,4,4,10
382,1,7,2
383,8,4,4
384,4,7,8
385,2,4,3
386,3,4,4
387,9,7,4
388,1,1,6
389,8,2,10
390,3,7,8
391,9,1,3
392,1,10,2
393,8,7,3
394,10,8,4
395,5,3,1
396,4,9,6
397,9,2,4
398,10,5,7
399,2,4,7
400,1,10,4
401,4,5,7
402,3,8,5
403,10,4,4
404,10,9,4
405,1,7,2
406,6,6,8
407,5,5,7
408,3,10,10
409,5,5,10
410,3,8,8
411,1,8,7
412,1,6,1
413,8,4,4
414,8,3,1
415,6,8,7
416,5,6,6
417,7,6,8
418,4,9,4
419,10,6,6
420,7,7,4
421,4,1,10
422,6,2,10
423,7,2,4
424,3,2,4
425,5,4,6
426,5,8,6
427,4,3,5
428,7,9,1
429,8,7,8
430,10,4,2
431,1,9,2
432,1,10,7
433,9,10,3
434,6,2,6
435,5,2,7
436,9,5,6
437,6,4,8
438,6,2,1
439,3,6,2
440,2,4,4
441,6,7,9
442,6,8,4
443,9,7,2
444,4,4,4
445,4,1,7
446,6,4,1
447,4,3,1
448,5,5,5
449,9,10,5
450,1,8,8
451,6,9,7
452,6,3,4
453,7,9,5
454,1,7,5
455,5,6,2
456,3,3,7
457,2,2,9
458,1,5,1
459,6,1,10
460,1,9,10
461,5,3,5
462,9,2,5
463,7,3,5
464,10,2,2
465,4,1,6
466,1,5,10
467,8,7,5
468,5,9,8
469,8,5,6
470,10,7,2
471,5,6,7
472,7,4,4
473,6,5,1
474,1,10,9
475,2,7,7
476,8,5,9
477,5,5,8
478,10,7,9
479,5,2,8
480,4,8,1
481,10,8,2
